	Log2.Ratio.H.L.normalized.SNA.vs.Sham_Rep1	Log2.Ratio.H.L.normalized.SNA.vs.Sham_Rep2	Log2.Ratio.H.L.normalized.SNA.vs.Sham_Rep3	Log2.Ratio.H.L.normalized.DCA vs Lam_Rep1	Log2.Ratio.H.L.normalized.DCA vs Lam_Rep2	Log2.Ratio.H.L.normalized.DCA vs Lam_Rep3	Log2.Ratio.H.L.normalized.Central.vs.Peripheral_Rep1	Log2.Ratio.H.L.normalized.Central.vs.Peripheral_Rep2	Log2.Ratio.H.L.normalized.Central.vs.Peripheral_Rep3
Fbln5	-0.095527463	-0.837403234	-0.290479963	NA	NA	NA	-2.032742841	-2.272297327	-2.420201962
Trip11	NA	NA	1.357608304	NA	NA	NA	NA	NA	NA
Atxn3	NA	NA	NA	NA	NA	NA	-2.325250115	-1.606781518	-1.050323139
Pfkp	0.225151512	-0.740215315	-0.381517	-0.185851577	0.008773707	0.222062625	-0.476357757	-0.23122707	-0.190865478
Ppp4r4	NA	NA	NA	NA	NA	-0.028704772	NA	NA	NA
Numb	NA	NA	NA	NA	0.423309237	NA	NA	NA	NA
Npc2	1.129810535	1.190804468	0.84607203	0.180657108	-0.335371532	0.287117636	NA	-0.23917442	0.189792938
Vash1	NA	NA	NA	0.31533436	-0.077680346	-0.04199628	1.383331044	2.093796775	2.16033938
Evl	0.165300975	0.35038409	0.771632081	NA	0.631430278	0.107286135	NA	-0.536733291	-0.380352233
Yy1	NA	1.158143104	1.586068143	0.407733431	-0.113364015	-0.13058654	NA	NA	1.57104572
Hsp90aa1	0.150559677	0.271306144	-0.022405008	-0.495003412	0.039138394	0.00345832	-0.598085609	-0.217222421	-0.060081396
Zfyve21	-0.895690181	0.595694607	-0.343714157	0.004609253	-0.251160968	-0.155437587	NA	1.553360503	-0.837686826
Adssl1	1.520397103	-1.6920353	-1.103394887	NA	NA	-0.653491231	-2.201841624	-0.699231967	-2.647557841
Exoc2	NA	NA	NA	NA	0.091124334	-1.131376443	NA	NA	NA
Cap2	NA	NA	-0.580612127	NA	0.06942721	0.267715562	NA	-0.493987158	0.436268465
Tpmt	0.162854528	0.141563582	-0.433798578	NA	NA	0.244521774	-1.656262457	NA	-2.702749879
Dek	-0.497200968	0.517829985	1.409418092	NA	0.055334502	0.483054736	NA	NA	NA
Aspn	-1.029617507	NA	-0.390396311	NA	NA	NA	-0.419198456	NA	NA
Ogn	-0.161201483	1.050327554	0.340619235	-0.129812854	-0.106824206	-0.22394656	0.805705185	0.465922239	0.680504401
Nqo2	0.010206943	-0.495877964	-0.538911545	-0.29148607	-0.13656896	-0.10956109	-2.652538433	-2.596492303	-3.263680878
Eci3	-1.03469223	0.326652391	NA	NA	1.985026741	NA	NA	NA	0.399991351
Ssr1	-0.426606083	NA	0.232415171	NA	NA	0.194465332	NA	NA	NA
Auh	-0.524998152	NA	0.65672517	NA	NA	0.305211776	1.634964929	-0.195219493	NA
Lman2	NA	NA	NA	NA	0.654710488	0.626766188	NA	NA	NA
F12	NA	NA	NA	NA	NA	NA	NA	NA	-2.686777371
Dbn1	0.262914176	0.012640181	0.194717463	NA	-0.131044631	-0.106917423	-0.716528585	0.228356954	0.574634395
Uqcrb	NA	NA	NA	NA	NA	NA	NA	1.289834465	NA
2210016F16Rik	-0.152163402	-0.296810685	-0.559621806	-0.527075587	-0.116473021	0.330787836	-2.605332213	-2.215512768	-2.072725499
Tppp	-0.388430992	-0.031061395	NA	0.657457085	0.324119326	1.01834931	1.553311348	0.750949452	1.003746139
Pdcd6	-0.227438647	0.060739158	-0.45648432	-0.027954407	-0.102279401	0.020484422	-0.560408775	-0.428876592	-0.567874391
Sdha	-0.339838056	NA	NA	NA	0.005184376	0.497433534	NA	1.106281309	-1.754869469
Glrx	NA	-0.347674132	-0.538639084	NA	NA	-0.184391783	-1.890679562	-0.795333397	-0.928072618
Hapln1	NA	NA	NA	NA	0.412185359	0.124328135	2.686791838	2.459405388	2.352617299
Ckmt2	-1.373140382	-1.218229046	-1.404229022	1.038576651	1.077584829	0.007339046	2.604403485	3.799812617	4.205470714
Hexb	0.031677496	0.277627748	0.372729271	0.401084302	0.311386858	0.432959407	0.554048507	-0.235297165	0.45132982
Ap3b1	-0.38283319	NA	NA	NA	NA	NA	NA	NA	NA
Scamp1	NA	NA	NA	NA	0.46550437	NA	NA	1.426694144	NA
Thbs4	0.261831659	-0.292793291	-0.02148218	NA	NA	NA	NA	-2.274878365	-1.99240261
Dhfr	NA	NA	-0.341500578	NA	NA	NA	NA	NA	-0.611975824
Psmd6	-0.514696838	-0.123622541	-0.016001337	0.07121349	-0.071224168	0.313942357	-0.322830061	-0.061556113	0.112633417
Pdhb	0.357608304	0.419107367	0.34596403	0.043344505	0.593688409	-0.05644619	6.569293607	3.543743323	1.77930175
Skiv2l2	-0.991197614	NA	NA	NA	NA	NA	NA	NA	NA
Vdac2	-0.970356299	-0.733747168	0.465086379	-0.295411292	-0.08505285	-0.160685337	1.516922851	3.016407174	0.825948405
Ngly1	-0.362176483	-0.471388676	-0.85185984	NA	0.107420059	0.0223323	NA	-1.265899556	-0.817994258
Fam213a	NA	NA	-0.278811107	0.21971064	-0.059735507	0.276794405	NA	NA	NA
Glud1	-1.016278533	-0.034987821	0.306145559	NA	1.790021308	NA	NA	0.721591399	1.010565029
Nid2	0.078746447	0.225645121	0.696973088	0.095451881	-0.092155617	-0.136917908	-0.822860357	-1.284475585	-1.136632399
2700060E02Rik	-0.504038833	-0.62921078	-0.19877511	0.100439479	0.110897723	-0.144983055	-1.290321168	-1.241304538	-3.227556884
Dnajc9	-0.080194669	NA	0.510253053	-0.146515273	-0.164011269	-0.251092288	1.408168371	1.296134325	2.137372364
Ppp3cb	-0.234210683	NA	-0.320269949	NA	NA	0.340277405	NA	-0.666095448	-2.46211753
Vcl	-0.365202306	-0.502035146	-0.684364216	0.351176003	-0.106513525	0.178873958	-2.225936182	-1.537842952	-3.007405573
Psmc6	0.427069755	-0.094325628	-0.135586014	0.269870983	-0.187477131	0.152767519	-0.814412508	-0.327076873	0.276317993
Anxa11	-0.107881023	-0.387524824	-0.430664463	-0.099448084	-0.321224952	0.122871469	-1.307215743	-0.723539067	-0.507172612
Rnase4	0.198242682	-0.303115909	0.084608575	NA	NA	0.364460374	-1.550760874	-2.401329898	-1.768272693
Arf4	-0.391266442	-0.388109993	-0.675719346	NA	NA	NA	NA	-0.852641196	-0.595358417
Nisch	0.033933911	0.107420059	-0.6049372	NA	NA	NA	NA	NA	-0.821278986
Kpna3	0.093154488	-0.026484234	-0.15780154	-0.35057768	-0.277201757	0.236339539	-0.528240258	-0.373383312	-0.242345179
Pspc1	0.166843964	1.500700092	0.811881996	0.441908364	0.423739507	0.032100843	3.579059436	3.008038621	3.143915803
Cryl1	-0.071618306	-0.359841845	-0.367601482	-0.278181148	-0.105923415	0.130403762	-1.496345965	-2.931590583	-2.743134262
N6amt2	NA	-0.323606203	-0.025925961	NA	NA	NA	NA	-1.343659234	-0.693901116
Prkcd	NA	NA	-0.459694935	NA	NA	NA	NA	NA	NA
Tkt	0.369159346	-2.767977854	-0.153382328	0.366364183	-0.214876357	0.203013171	4.331275267	-4.864596469	-4.088187256
Cab39l	-0.06056277	-0.286955304	-0.641716277	-0.06750034	0.038155201	0.018776585	-0.548543568	3.405720127	-4.223077383
Mtmr6	NA	NA	-0.535540834	NA	0.08120326	0.435201856	-2.285952351	-2.443163524	-0.392667319
Esd	0.130403762	-0.247748089	-0.466715749	0.035201596	-0.561728443	-0.156321606	-1.583030583	-0.539037314	0.147827668
Rgcc	NA	NA	NA	0.394953085	-0.058217584	0.115565996	NA	1.078883047	1.285934808
Ccdc25	0.354564999	-0.211798749	-0.406368952	NA	0.523662314	0.113700499	NA	-0.4536957	-2.831357964
Clu	1.423416817	0.515712452	0.645517218	NA	0.006764782	-0.171011038	-0.480760051	0.343805752	0.780814009
Dpysl2	-0.276887094	0.017779413	-0.486367771	0.31022377	0.083247414	0.004753055	-0.221909199	1.589523817	2.89729852
Loxl2	0.421155961	1.323427718	0.453543918	NA	NA	NA	NA	NA	NA
Pdlim2	NA	NA	NA	NA	NA	NA	NA	-0.0481586	NA
Sorbs3	-0.449375099	0.034356597	-0.118883591	NA	-0.388430992	-0.262486286	0.203514411	-0.465041973	-0.822273517
Xpo7	0.129876461	0.040962548	-0.254151723	NA	0.322735778	-0.061164715	-0.074775289	-1.675903722	-1.393993726
Gfra2	NA	1.46550437	NA	NA	NA	-0.216769668	NA	-0.304006187	NA
Sucla2	NA	NA	NA	NA	0.612116552	-0.169322802	NA	1.449165157	-1.669785823
C9	1.109093059	0.108491003	0.373286274	NA	NA	NA	-1.432882946	-2.189746114	-1.724087081
Fbxo4	-0.791258019	NA	NA	NA	NA	NA	NA	NA	NA
Acin1	0.297484916	1.135863165	NA	NA	NA	NA	NA	NA	NA
Psmb5	0.04949137	0.182565182	-0.027101524	-0.070890752	-0.148224978	0.158466295	-0.745938147	-0.003741427	0.151728955
Sub1	-0.318793641	NA	NA	NA	NA	NA	-1.222902264	NA	-0.848478847
Dhrs4	-0.75513729	1.043694461	1.859094923	0.932287992	0.062121712	0.0739573	1.564134243	NA	NA
Cct5	-0.151281926	0.638676283	0.139993302	0.168513676	0.12498977	0.084608575	0.904965719	1.234991741	1.830863757
Tars	-0.77322022	-0.256872847	0.07231164	0.427284346	0.119156942	0.442757758	0.408820535	0.452806263	0.568129417
Ywhaz	0.229341813	0.410558198	0.011066201	-0.183736176	-0.31059348	-0.004913521	-0.825593581	-0.940035652	-1.00213677
Rrm2b	NA	NA	NA	NA	NA	NA	NA	NA	NA
Atp6v1c2	-1.376282939	-0.23723449	-0.334297983	-0.17187215	-0.187559278	0.230571942	-0.650951833	0.193708673	0.350723534
Eif3h	-0.034219409	0.378622596	0.39462389	-0.275070383	-0.862942469	-0.035490467	-0.117771724	0.249384659	0.194339249
Rad21	-0.840164176	NA	NA	NA	0.18027519	0.45132982	NA	NA	NA
Hrsp12	0.069014678	-0.648055127	-0.788489337	-0.06760617	-0.018249617	-0.317264914	-1.807477556	-0.656330669	-0.830485424
Eif3e	-0.022038736	-0.112303176	-0.007492583	0.232537969	-0.245027007	0.287354085	1.76502547	-0.788215252	1.70012895
Asap1	-0.859771047	-1.115534926	-0.774749753	-0.303293921	-0.082606437	-0.06078847	NA	0.252657864	0.116098552
Rbx1	NA	NA	NA	NA	NA	NA	NA	NA	NA
Adsl	0.009777122	-0.302190603	-0.291715631	0.272262125	0.38659025	0.246468895	-0.45638534	-2.365350976	-1.4170009
Tab1	NA	NA	0.045862298	NA	-0.12601361	NA	NA	NA	NA
Smc1b	NA	NA	NA	NA	NA	NA	NA	NA	NA
Parvb	0.899717023	1.282795616	0.591200673	-0.272959586	-0.406942687	0.033792989	1.095249317	1.481402283	1.320773477
Twf1	-0.265656722	0.379177329	0.013640911	-0.090772209	0.228110634	0.076011739	-2.392818846	-0.067560813	-3.818844005
Naga	NA	0.273575566	NA	NA	-0.179138919	0.312316654	NA	NA	NA
3-Sep	-0.586319272	0.81409919	0.944333734	NA	0.164786278	-0.152500107	NA	1.161629747	1.598936834
Pmm1	0.689030727	-0.642887205	-0.192776988	-0.549071189	0.603976406	0.465190888	-1.696236783	-2.147777383	-1.679503769
Aco2	-0.082285653	-0.116989233	-0.394353961	0.845429833	0.672561119	-0.121266812	1.495029937	1.577150837	0.65617599
Phf5a	0.361319202	-0.289950715	NA	NA	0.141694362	NA	NA	0.054362288	0.354903461
Col2a1	NA	NA	NA	0.751292319	-0.260514776	NA	3.415488271	NA	NA
Itga5	-0.32823562	0.402176425	NA	NA	NA	0.442333123	NA	-0.755112941	-0.229433094
Pde1b	NA	NA	-0.008609675	NA	NA	NA	NA	-0.890866813	NA
Nubp1	0.246468895	NA	-0.339801538	NA	NA	NA	NA	-0.812358922	NA
Cldn1	-1.176805002	0.38835488	NA	NA	NA	NA	NA	NA	NA
Srl	NA	NA	NA	NA	2.504671235	-1.344464984	NA	0.586308388	0.836328134
Rogdi	0.037030731	-0.127163362	0.294782469	-0.188331691	0.743213343	0.010779839	-0.109841291	0.49865936	1.986956963
Gpt	0.208142647	-0.428760069	-0.487580936	NA	NA	NA	NA	-1.669694022	-1.737302262
Cyc1	NA	NA	NA	0.054223347	NA	NA	NA	NA	NA
Oplah	-0.282263266	-1.278023701	-1.202804362	NA	NA	-0.198427431	NA	-1.500585232	-1.502014715
Tsta3	0.33571191	0.167357928	-0.099092628	-0.039606913	0.631523406	0.22428729	-1.934841325	-0.815224608	-3.244685096
Naprt	NA	NA	-0.948920296	NA	NA	NA	NA	-2.314445519	-1.90952592
Rpl24	-1.342488037	NA	NA	0.074642438	-0.079142692	-0.238714727	0.963400138	0.798423845	1.174406419
Chkb	0.526269172	0.694746501	-0.00023085	NA	NA	-0.097779746	NA	0.243059706	-3.071694114
Alcam	NA	NA	NA	NA	0.053667449	-0.014689027	NA	NA	NA
Cd200	NA	0.613625944	NA	NA	0.180911663	0.107286135	NA	1.658554261	0.906967537
Atg3	0.175428791	0.02446153	-0.199089749	0.045442971	2.729378745	0.226261894	-2.061059356	-1.733219455	-2.072907585
Ndel1	-1.575701334	-0.496223863	0.433279971	NA	-0.542752438	-0.448843317	NA	0.430927517	0.08827731
Pdxdc1	0.31823006	0.385817545	0.027861775	NA	-0.012708243	0.054223347	NA	-0.995333224	-0.706111628
Gbe1	0.208766947	-0.248399171	-0.505860922	NA	0.179256247	-0.166923713	-1.378044266	-0.88408782	-0.748480854
Pmm2	0.067225673	0.154971988	-0.304398083	-0.400015768	-0.182933464	0.016353684	-1.558389042	-3.231210135	-2.731302125
Nit2	0.027154052	0.222680931	-0.366652494	NA	0.435201856	0.539928043	-1.290074189	-1.695115191	-1.108923056
Snap29	-0.150400989	0.222062625	0.02474519	-0.362640155	0.017494379	0.223051788	-0.586254291	-0.147553637	1.01770816
Serpind1	0.652784755	NA	NA	NA	NA	NA	NA	NA	NA
Dlg3	-0.14445673	0.278698482	0.094641454	0.164400135	0.297367523	-0.405642549	NA	2.761051189	2.703610161
Ncbp2	NA	0.30591217	NA	NA	NA	NA	NA	NA	NA
Mapk1	-0.267270601	-0.060999155	-0.203136489	-0.221354055	-0.294986428	-0.013887647	-0.836140639	-0.410217341	-0.272767848
Pak2	-0.161153087	-0.024017711	-0.412788649	NA	0.175428791	-0.015782536	-0.647535241	-0.244172381	0.569879906
Tfrc	NA	NA	NA	NA	0.848637962	0.406863158	NA	0.915406169	NA
Arhgap31	NA	0.238053099	-0.125258107	NA	NA	NA	NA	NA	NA
Snx4	-0.170442661	0.160403926	-0.096020813	NA	-0.199487286	0.20451637	-1.12440864	-0.723682007	-0.242362245
Umps	0.282499113	0.191309967	NA	NA	NA	NA	NA	-2.709622782	NA
Hcls1	1.555521697	1.399061691	0.734395309	NA	NA	0.570948605	NA	-0.159718059	-0.029750048
Mylk	-0.030810821	-0.700614656	-0.486873132	NA	NA	-0.002816002	NA	-0.608122323	-0.20046503
Tra2b	-0.155437587	-0.452885835	0.359970888	1.087123344	1.244887059	-0.045624993	-1.444419406	-2.324455023	-1.98279071
Cxadr	NA	NA	NA	NA	-0.312652593	NA	NA	NA	NA
Usp25	0.27643711	NA	-0.344776417	NA	NA	NA	NA	NA	NA
Ahsg	1.032383005	-0.206245585	0.08719125	0.363675722	0.649385529	-0.223845466	0.339593501	-1.067394518	-1.288346516
Fetub	NA	NA	NA	NA	NA	NA	NA	NA	NA
Hrg	0.44456106	-0.954081801	-0.44673781	NA	NA	NA	NA	-2.008508085	-2.342561209
Adipoq	0.712991889	-0.197169863	0.196103398	-0.237421562	NA	NA	-2.205696434	-1.898834041	-2.052775228
Eif4a2	-0.170442661	0.405883473	-0.033008512	-0.353284339	0.098150021	0.059908989	0.395282204	2.968330413	-1.865700191
Dscr3	NA	NA	NA	NA	NA	NA	-0.799018635	NA	NA
Psmg1	0.264716569	NA	NA	NA	NA	NA	NA	-1.419584337	-1.247422659
Atp5o	NA	NA	NA	0.54072166	0.267595722	0.228480098	0.939076093	0.503450509	NA
Gart	-0.194113252	-0.558495273	-0.640838705	NA	-0.082194014	0.020057652	NA	-2.732643988	-3.466959007
Sod1	0.265196827	-0.035963704	-0.186935076	0.053806444	-0.118225764	-0.221993331	-0.934151997	-0.547130495	-0.955507956
Dhh	NA	NA	NA	NA	0.018918982	-0.58582116	NA	NA	NA
Gpd1	0.763921421	0.043764442	-0.068982665	-0.010047208	-0.130128594	-0.151890888	-3.445157747	-3.056371179	2.551417579
Csad	-0.1634618	-0.380220786	-0.369519973	NA	0.585347168	0.555619857	-2.294349367	-2.157592327	-2.725756233
Igfbp6	-0.459675094	0.162596766	-0.156948784	-1.125572852	0.164400135	-0.112537117	-1.030147747	-0.181623873	-0.183883662
Sncg	0.221444053	0.09328973	0.08024833	-0.201974377	0.065296567	0.164528861	-1.173970214	-0.604410685	-1.190536163
Fhl1	0.282617721	0.212507085	0.150689643	-0.349345715	0.776609369	-0.744366334	-0.296970196	0.310921735	-0.255597758
Denr	-0.010570303	0.585731733	0.129348967	-0.211063771	0.547153659	0.455964989	0.916170875	0.30018231	0.762476388
Prmt5	-0.241560364	-0.408473764	-0.086170405	NA	0.118625514	0.521452826	-2.088469472	-0.854387753	-0.910610327
Ivns1abp	NA	NA	NA	NA	0.10608026	NA	NA	NA	NA
Hbb-bs	1.032876656	0.053250385	-0.010759244	0.017921908	0.390997784	-0.932498951	0.391217808	1.143589335	0.104739216
Cfhr1	NA	NA	0.999061943	NA	NA	-1.046831627	NA	1.32751492	NA
Serping1	0.831471933	0.246590503	0.422878839	-0.641761295	0.116763971	-0.268590812	-0.719186182	-0.406961816	-0.562175701
Acy1	-0.046637902	-0.171514645	-0.305485262	NA	-0.029116903	-0.276380281	-1.597845409	0.436908052	2.879431314
Twf2	0.135797512	0.447103068	0.001297842	0.237441347	0.862193478	0.156784908	-1.725374542	-3.252775893	-1.787667239
Trip6	0.050327554	-0.37071333	NA	NA	NA	NA	NA	-1.678256582	NA
Agap3	-0.37065737	-0.771249022	-0.572329471	NA	-0.127872571	-0.047994526	NA	0.207643013	-0.270034003
Pcbp4	NA	NA	NA	NA	-0.092401696	0.200253232	NA	3.58183327	NA
Smoc2	-1.193931711	-0.851104932	-0.684132394	NA	NA	NA	NA	-2.265968945	-0.226864487
Cd2ap	-0.108596368	-0.112381152	0.198996966	0.141171172	0.069564695	-0.011820686	0.202386375	0.171463056	-0.030707656
Tbc1d5	NA	NA	NA	NA	NA	NA	NA	NA	NA
Cdc5l	NA	NA	NA	NA	-0.453893297	-0.790159888	NA	NA	NA
Hsp90ab1	0.185486004	0.273814245	0.062121712	-0.368886402	0.058524312	0.087055435	-0.495003412	-0.406177758	-0.235806735
Clic6	NA	NA	NA	0.204391163	NA	NA	0.611455697	NA	NA
Ppil1	0.151599082	NA	-0.282912563	0.385817545	0.011209361	-0.147377861	-0.352381555	-0.547067256	-0.174621396
Glo1	0.029417547	-0.258356126	-0.575722836	-0.001342331	-0.111476885	-0.018892627	-0.995477035	-0.303382935	0.175939705
Myom1	2.048759312	NA	-2.724706826	NA	NA	NA	NA	NA	NA
Ehd3	-0.029691139	0.210513552	-0.155919712	0.049351959	0.279292991	-0.108191999	0.089633736	0.739848103	1.099968417
Xdh	0.180911663	NA	NA	NA	NA	NA	NA	NA	NA
Eif2ak2	NA	NA	NA	NA	NA	-0.252689947	NA	NA	NA
Vapa	NA	NA	NA	NA	-1.079538999	-3.100607788	NA	2.221134668	NA
Ralbp1	0.041803688	-0.537340359	NA	NA	NA	NA	NA	-0.203202924	-0.104511236
Sbpl	NA	NA	NA	NA	3.656496371	-1.742844516	NA	NA	NA
Eci1	NA	NA	NA	1.181993025	0.917622702	-0.048054187	NA	NA	NA
Caskin1	-0.321639585	NA	0.211884402	NA	0.051163253	-0.174019042	NA	1.08827731	0.880646348
Hagh	0.477470103	0.764346155	-0.311452579	-0.480317204	0.254835883	-0.018571086	-1.143181589	-2.981422794	-2.552410225
Nme3	0.146524891	NA	-0.214190017	NA	NA	NA	NA	-0.374841751	-0.30064382
Hn1l	NA	-0.018074301	NA	NA	NA	NA	NA	NA	NA
C3	1.075737982	-0.461342651	-0.066865524	0.479230561	0.597602681	-0.02137968	-0.844457992	-0.648869238	-0.453063571
Cuta	NA	-0.217591435	NA	NA	NA	NA	NA	-1.778184772	-1.647377052
Nudt3	-0.385318421	-0.515624662	-0.676802892	NA	-0.01177705	0.032241931	-0.590983874	-1.026734058	-1.224755567
Anks1	-0.456900108	0.100439479	NA	NA	NA	NA	NA	-1.468571126	-1.307037247
Nudt12	-0.099077175	-0.074061328	0.535853894	NA	0.387141928	-0.234533147	NA	NA	NA
Kif5b	-0.158864169	-0.852875685	-0.369631808	NA	0.292781749	-0.979117373	-1.924289396	0.882603925	-1.123245366
Elp2	-0.214273699	NA	NA	NA	-0.072543436	0.474046599	NA	0.799170217	0.546165985
Pfdn6	0.020911066	0.428571222	-0.248502001	NA	0.097475959	NA	NA	-2.198857903	-2.359342057
Cdh2	0.204391163	0.638398262	0.891652488	-0.247816611	0.085424656	0.219586745	1.475499987	0.660289751	0.621618213
Vps52	-0.697476222	-0.505185047	-0.631913356	0.240253262	-0.236384465	0.779469857	1.38327574	0.709819968	1.449640605
Psmb8	0.599698653	0.676357687	0.296662968	0.121148056	-0.179367617	0.007913082	0.515712452	0.282854909	-0.157029211
Pfdn1	0.085696581	0.140647793	-0.013246863	-0.096776583	0.388465097	0.0824301	-1.528947839	-0.538366673	-0.844587522
Hspa9	0.522658421	NA	NA	NA	0.526970214	-0.196078653	NA	1.103464069	NA
Etf1	0.097880434	0.789770977	0.38272258	0.305795461	0.134483822	0.020911066	-1.113285986	1.52682002	-3.843960703
Bin1	0.497126915	0.342327173	0.299479128	-0.286832097	0.150819598	-0.019638293	0.416515504	0.508022917	0.932741527
Csnk2b	-0.074638546	-0.007666618	-0.140014554	-0.248947679	-0.082438398	0.108624815	NA	1.747301458	0.470927257
Bag6	0.476640909	0.333423734	0.309292623	NA	0.074368422	0.196229326	NA	0.088005871	0.561692721
Lims2	0.001153695	0.762901548	0.276317993	-0.018381119	0.578020891	-0.089374777	NA	1.738378743	-1.119071597
Impact	NA	-0.353007916	-0.20107853	NA	NA	-0.504796051	NA	-1.589311561	-0.940506275
Diap1	0.553851968	-0.070148418	-0.287377809	NA	NA	NA	NA	NA	NA
Pggt1b	-0.196789499	NA	-0.118084839	NA	NA	NA	NA	-0.771519902	-1.124471546
Ap3s1	-0.155035939	0.041383179	0.27369491	NA	0.29419431	0.29713271	-0.453794495	0.518132236	0.349138777
Tcerg1	-0.417155005	0.812539298	-1.058593159	NA	0.227864273	0.167614841	1.99432628	NA	NA
Hsd17b4	-0.146994425	0.495490511	0.325156118	0.251931127	-0.686661261	-0.130428611	1.172487516	2.801282843	2.213191727
Mtm1	NA	NA	NA	NA	NA	0.084064265	NA	NA	-0.643022373
Smad4	0.079292767	0.648373402	0.372172052	NA	0.215740713	0.320080262	0.922426225	2.362301553	NA
Psmg2	NA	NA	NA	NA	NA	NA	NA	NA	NA
Ppic	-0.6931545	-0.393481967	0.121678557	NA	NA	NA	NA	NA	NA
Seh1l	NA	NA	NA	NA	NA	0.130403762	NA	NA	NA
Smad2	-1.516800764	-1.772603931	-1.493296513	NA	-0.051219761	-0.180282774	NA	-0.380709078	-0.01711044
Napg	-0.063740862	0.29713271	-0.068695156	-0.180282774	0.80240004	0.259664184	1.149714608	-3.351295278	-2.698061233
Txnl1	0.388905884	0.532666057	0.176960992	-0.27288986	-0.461938675	0.606631732	0.669480372	2.303488527	4.042381687
Nars	-0.266524174	0.421479157	-0.124251386	-0.491794488	0.315798063	0.278936315	0.240985904	2.312607093	4.066003057
Lmnb1	-0.815503873	-0.460667455	0.525868423	0.477988108	-0.094664506	-0.01151526	-0.792032205	-1.497974978	-0.831717399
Prrc1	NA	1.002450499	0.037030731	NA	-0.727570643	NA	NA	-0.674659642	-0.392477932
Isoc1	0.295135249	-0.058608184	-0.152115307	-0.323533987	0.457646819	0.055334502	-1.161782369	-2.074425859	-1.145094724
Dctn4	-0.147809349	0.018064389	0.448478121	0.043064479	0.209765266	-0.053793171	0.510151758	1.042224074	0.973501072
Rps14	-0.928621735	-0.517048487	-0.145589363	0.058939855	0.021479727	-0.084226721	0.572210593	0.925163932	0.563939074
Pdgfrb	NA	0.623679608	NA	NA	NA	NA	NA	NA	NA
Gnaq	-0.219219579	-0.021643266	0.247319935	0.046281503	2.261681245	-0.021877605	0.497535726	-0.195830766	-0.204781647
Psat1	-0.255735551	-0.305396118	-0.435690126	0.027861775	0.181166174	0.21971064	-3.563966122	-5.098678555	-4.332730945
Cndp2	0.256889886	-0.047875211	-0.162960996	0.765534746	1.316145742	-0.21757466	-1.581130027	-1.921936744	-1.208861081
Cyb5a	-0.055231491	0.144960005	0.370722275	-0.029072741	-0.156723612	-0.203634823	-0.097702555	0.252900029	-0.059810693
Arid1a	0.367147375	-0.12562007	-0.572072072	-0.123339651	0.556797247	0.336511916	-0.42678061	4.08236197	-4.229666523
Fth1	1.45117154	0.004321606	-0.072846887	-0.384433037	-0.070936213	0.199499604	-1.351111244	-0.939509843	-1.163106373
Osbp	-0.571643178	-0.744052176	-0.812384257	NA	0.02034218	0.014926544	-0.627426729	-0.514820513	-0.545550337
Gna14	-0.47148869	0.020911066	0.333881659	NA	2.401958066	-0.421380043	NA	-0.390944811	-0.266853943
Rfk	-0.428643555	-1.518618385	-0.654717182	NA	-0.037443574	-0.324220193	-2.216786435	-0.755234692	-0.82561915
Ostf1	0.204641566	0.186120184	-0.218363316	-0.167895836	-0.018644158	-0.018658772	-1.243933176	-0.187986519	1.433707277
Prpf19	0.359408719	0.45438649	0.423631952	NA	-0.672496577	0.110363243	0.40990682	0.41824393	0.988048397
Ddb1	0.29713271	0.259061529	0.071899932	0.064193062	0.555030801	-0.655444164	-1.924344155	-2.443712838	-3.682195822
Fen1	NA	NA	0.6615672	0.50984783	0.009347172	0.154453593	2.375595544	NA	-0.231074664
Aldh1a7	-0.377894282	-0.449591807	-0.323263205	NA	NA	NA	0.209640514	-1.758769964	-1.487297773
Tmem2	NA	NA	NA	NA	NA	NA	NA	NA	NA
Atl3	NA	0.416731671	0.774080691	NA	NA	NA	NA	-0.210345858	0.152897287
Otub1	0.401848875	0.166972472	-0.137822395	-0.195979493	-0.012213472	0.074779426	-1.207061378	-0.257907532	1.026162654
Ehd1	-0.452214585	-0.037369544	-0.121926029	-0.023739025	0.119156942	0.008917095	-0.745357586	-0.453952581	-0.129086914
Ppp2r5b	0.224781194	0.177088602	0.491699201	-0.044687197	-0.143452462	0.230940776	0.424492171	0.482951513	0.682393511
Ak3	NA	0.788435148	NA	0.082157559	0.383054501	0.502126889	NA	-1.640748728	-0.001790052
Snx15	NA	NA	0.101246657	NA	-0.232565542	NA	NA	NA	NA
Vps51	-0.650725318	-0.127620368	0.009347172	0.0360461	-0.170897345	0.614097305	1.184026332	0.589379995	1.231862449
Frmd8	-0.064238544	-0.287800437	-0.233362438	NA	-0.862732573	-0.272105678	-1.82449456	-0.796736187	-1.118131813
Banf1	0.081748651	1.201069218	0.015069322	NA	NA	NA	NA	NA	NA
Aip	-0.035948913	-0.012562704	-0.110884742	-0.408167419	-0.046399506	0.104605043	-1.030766607	0.317535622	-0.81972481
Sf3b2	0.428142391	0.601601443	0.628166999	NA	0.371280054	NA	NA	NA	-1.365350976
Klc2	-0.404954714	NA	0.412618959	NA	0.280956314	0.45037988	NA	-0.404630017	-0.639669438
Rab1b	0.019061365	0.002882509	0.286526343	NA	NA	NA	NA	NA	0.253626278
Apba1	0.362666256	NA	-0.094541268	NA	NA	-0.760357558	NA	NA	-0.064615689
